# timestamp,q0,q1,q2,q3,omega_x,omega_y,omega_z,roll,pitch,yaw
1.754177618026733398e+01,9.506331086158752441e-01,-1.472371350973844528e-02,-3.651773789897561073e-03,-3.099462091922760010e-01,-1.277446861331729471e-03,4.736107135284750341e-04,-4.895862090089272154e-04,-2.573283206354074967e-02,-1.989006832024423424e-02,-5.326290103831152756e-01
1.755211329460144043e+01,9.505885839462280273e-01,-1.505522057414054871e-02,-3.415363607928156853e-03,-3.100695013999938965e-01,-1.363279272071676830e-03,4.509284919883681394e-04,-4.522834837107041336e-04,-2.650774564671020544e-02,-1.959601473582637740e-02,-5.327932083593132084e-01
1.756236696243286133e+01,9.505528211593627930e-01,-1.540418341755867004e-02,-3.176651895046234131e-03,-3.101644515991210938e-01,-1.454320887736117521e-03,4.469046597066421000e-04,-3.889766755662733030e-04,-2.731780860787840631e-02,-1.930824598131214084e-02,-5.329223569255585602e-01
1.757262635231018066e+01,9.505192637443542480e-01,-1.577240228652954102e-02,-2.917931880801916122e-03,-3.102512955665588379e-01,-1.526544263320456056e-03,4.555623864702133211e-04,-3.219931532693389169e-04,-2.817708850227599454e-02,-1.898776554646220555e-02,-5.330424331084482326e-01
1.758286666870117188e+01,9.504748582839965820e-01,-1.656477898359298706e-02,-2.412896836176514626e-03,-3.103505074977874756e-01,-1.655115598260080770e-03,4.132831877141972341e-04,-1.713436309941776330e-04,-2.999562222651959778e-02,-1.841435060803412252e-02,-5.331910143518515666e-01
1.759301853179931641e+01,9.504748582839965820e-01,-1.656477898359298706e-02,-2.412896836176514626e-03,-3.103505074977874756e-01,-1.655115598260080770e-03,4.132831877141972341e-04,-1.713436309941776330e-04,-2.999562222651959778e-02,-1.841435060803412252e-02,-5.331910143518515666e-01
1.760319828987121582e+01,9.504638910293579102e-01,-1.698934845626354218e-02,-2.158200833946466446e-03,-3.103629648685455322e-01,-1.705468389223053875e-03,3.900652008347714884e-04,-9.326060797769538096e-05,-3.096081938747664505e-02,-1.814192247850417161e-02,-5.332198961697985906e-01
1.761346149444580078e+01,9.504595994949340820e-01,-1.744220033288002014e-02,-1.918087946251034737e-03,-3.103524148464202881e-01,-1.763804134580395332e-03,3.280461686309849587e-04,5.263868812592025695e-06,-3.197109330150187112e-02,-1.792400014223508378e-02,-5.332206043298287623e-01
1.762468647956848145e+01,9.504618644714355469e-01,-1.788961328566074371e-02,-1.701347064226865768e-03,-3.103213906288146973e-01,-1.776126955264086850e-03,2.374375337191109094e-04,8.327579620612104506e-05,-3.295682732172301038e-02,-1.775546686250278200e-02,-5.331955245745424454e-01
1.763493657112121582e+01,9.504694342613220215e-01,-1.836083456873893738e-02,-1.506388070993125439e-03,-3.102717697620391846e-01,-1.765975665507009667e-03,1.575852032259915532e-04,1.538166892376606032e-04,-3.397458031262357708e-02,-1.765511258227621047e-02,-5.331475461137742400e-01
